,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
shade-1500d,5.0,19.0,8.0,7.0,3.0,104.0,126.0,90.0,114.0,5.0,1.0,8.0,10.0,5.0,11.0,10.0,25.0,34.0,33.0,75.0,34.0,46.0,125.0,46.0,92.0,159.0,75.0,88.0,61.0,88.0,14.0,116.0,43.0,94.0,19.0,11.0,11.0,6.0,15.0,10.0,8.0,7.0,59.0,0.0,0.0,0.0
jDE-1500d,6.0,28.0,15.0,14.0,3.0,96.0,149.0,89.0,103.0,4.0,1.0,13.0,6.0,0.0,3.0,16.0,14.0,17.0,26.0,65.0,55.0,33.0,148.0,79.0,80.0,162.0,37.0,91.0,60.0,91.0,4.0,109.0,34.0,87.0,25.0,14.0,20.0,5.0,15.0,9.0,12.0,11.0,71.0,0.0,0.0,0.0
None-1500d,6.0,19.0,7.0,26.0,4.0,109.0,141.0,89.0,103.0,4.0,2.0,9.0,10.0,4.0,7.0,10.0,19.0,20.0,28.0,66.0,40.0,31.0,123.0,59.0,77.0,163.0,39.0,96.0,65.0,105.0,7.0,104.0,29.0,95.0,23.0,32.0,23.0,3.0,11.0,12.0,13.0,15.0,72.0,0.0,0.0,0.0
shade-1000d,2.0,25.0,9.0,12.0,1.0,105.0,142.0,89.0,110.0,4.0,0.0,7.0,10.0,4.0,7.0,10.0,24.0,26.0,33.0,80.0,59.0,43.0,139.0,52.0,85.0,154.0,54.0,91.0,60.0,65.0,10.0,117.0,27.0,95.0,30.0,14.0,10.0,1.0,18.0,12.0,11.0,10.0,63.0,0.0,0.0,0.0
jDE-1000d,4.0,24.0,11.0,19.0,2.0,94.0,157.0,97.0,108.0,6.0,2.0,11.0,7.0,1.0,5.0,16.0,13.0,22.0,21.0,81.0,70.0,16.0,150.0,78.0,96.0,167.0,46.0,83.0,57.0,84.0,8.0,100.0,21.0,82.0,27.0,10.0,20.0,3.0,19.0,13.0,12.0,5.0,52.0,0.0,0.0,0.0
None-1000d,5.0,18.0,14.0,16.0,10.0,97.0,148.0,100.0,125.0,6.0,4.0,21.0,10.0,1.0,8.0,15.0,26.0,14.0,26.0,85.0,59.0,21.0,124.0,40.0,80.0,160.0,30.0,84.0,50.0,70.0,12.0,123.0,41.0,89.0,19.0,21.0,21.0,3.0,20.0,13.0,11.0,14.0,66.0,0.0,0.0,0.0
shade-500d,2.0,16.0,23.0,4.0,3.0,103.0,147.0,111.0,94.0,3.0,3.0,11.0,10.0,3.0,13.0,13.0,17.0,17.0,34.0,91.0,84.0,33.0,130.0,84.0,102.0,125.0,65.0,67.0,42.0,55.0,22.0,120.0,58.0,92.0,17.0,5.0,15.0,7.0,24.0,9.0,6.0,5.0,35.0,0.0,0.0,0.0
jDE-500d,6.0,29.0,23.0,7.0,7.0,97.0,140.0,131.0,121.0,7.0,2.0,10.0,7.0,0.0,6.0,24.0,25.0,14.0,41.0,89.0,92.0,17.0,114.0,104.0,105.0,114.0,51.0,60.0,55.0,49.0,11.0,97.0,38.0,95.0,31.0,9.0,14.0,8.0,24.0,5.0,1.0,10.0,30.0,0.0,0.0,0.0
None-500d,3.0,16.0,19.0,6.0,1.0,85.0,160.0,124.0,124.0,3.0,0.0,12.0,13.0,1.0,5.0,14.0,15.0,24.0,32.0,79.0,112.0,26.0,125.0,95.0,121.0,107.0,73.0,52.0,37.0,31.0,14.0,110.0,59.0,98.0,27.0,8.0,6.0,3.0,16.0,7.0,7.0,7.0,43.0,0.0,0.0,0.0
shade-300d,2.0,9.0,22.0,5.0,3.0,97.0,162.0,148.0,134.0,2.0,0.0,6.0,17.0,0.0,7.0,17.0,17.0,25.0,52.0,76.0,93.0,40.0,112.0,102.0,123.0,94.0,90.0,37.0,40.0,27.0,5.0,117.0,45.0,118.0,19.0,6.0,3.0,4.0,7.0,5.0,3.0,3.0,26.0,0.0,0.0,0.0
jDE-300d,2.0,17.0,17.0,3.0,3.0,100.0,159.0,148.0,134.0,0.0,3.0,11.0,21.0,3.0,7.0,23.0,20.0,14.0,52.0,76.0,94.0,18.0,116.0,81.0,117.0,92.0,79.0,50.0,52.0,37.0,3.0,114.0,43.0,112.0,20.0,5.0,2.0,2.0,16.0,7.0,5.0,8.0,34.0,0.0,0.0,0.0
None-300d,2.0,19.0,24.0,3.0,2.0,106.0,163.0,138.0,140.0,3.0,0.0,13.0,21.0,0.0,1.0,20.0,17.0,32.0,44.0,76.0,94.0,23.0,120.0,109.0,119.0,74.0,91.0,39.0,41.0,41.0,10.0,111.0,35.0,105.0,24.0,6.0,4.0,1.0,11.0,2.0,3.0,7.0,26.0,0.0,0.0,0.0
shade-100d,3.0,6.0,5.0,1.0,2.0,117.0,185.0,146.0,121.0,0.0,1.0,32.0,41.0,0.0,0.0,35.0,31.0,8.0,23.0,66.0,111.0,2.0,166.0,73.0,77.0,85.0,42.0,97.0,66.0,50.0,3.0,80.0,22.0,105.0,8.0,2.0,3.0,0.0,11.0,2.0,1.0,7.0,84.0,0.0,0.0,0.0
jDE-100d,2.0,7.0,15.0,3.0,3.0,118.0,180.0,153.0,112.0,1.0,1.0,34.0,28.0,0.0,0.0,43.0,33.0,6.0,39.0,67.0,119.0,2.0,164.0,90.0,67.0,88.0,28.0,85.0,62.0,35.0,4.0,74.0,27.0,95.0,17.0,2.0,2.0,6.0,10.0,5.0,1.0,5.0,87.0,0.0,0.0,0.0
None-100d,5.0,3.0,14.0,1.0,5.0,120.0,175.0,148.0,114.0,0.0,0.0,44.0,39.0,0.0,2.0,52.0,40.0,12.0,33.0,64.0,104.0,1.0,170.0,82.0,69.0,72.0,37.0,78.0,64.0,36.0,4.0,67.0,30.0,107.0,11.0,3.0,3.0,3.0,11.0,4.0,4.0,5.0,84.0,0.0,0.0,0.0
shade-50d,2.0,3.0,8.0,4.0,6.0,148.0,177.0,157.0,108.0,0.0,0.0,65.0,19.0,0.0,0.0,59.0,61.0,10.0,23.0,61.0,131.0,3.0,164.0,132.0,47.0,56.0,40.0,62.0,33.0,34.0,3.0,49.0,36.0,80.0,7.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,121.0,0.0,0.0,0.0
jDE-50d,5.0,3.0,20.0,5.0,2.0,155.0,169.0,151.0,99.0,0.0,0.0,61.0,22.0,0.0,1.0,50.0,64.0,11.0,37.0,64.0,142.0,1.0,161.0,116.0,56.0,57.0,38.0,47.0,43.0,29.0,11.0,32.0,25.0,81.0,15.0,1.0,3.0,3.0,10.0,3.0,4.0,6.0,117.0,0.0,0.0,0.0
None-50d,3.0,7.0,7.0,1.0,4.0,138.0,172.0,147.0,102.0,2.0,0.0,69.0,21.0,1.0,0.0,64.0,63.0,11.0,26.0,57.0,142.0,1.0,171.0,125.0,61.0,59.0,37.0,51.0,49.0,21.0,3.0,51.0,34.0,79.0,9.0,1.0,2.0,0.0,9.0,2.0,1.0,2.0,115.0,0.0,0.0,0.0
